資産コード,枝番,減損日,事由コード,事由,減損時の償却費計上区分,参照リンク
SSKM000100001,001,2020/03/31,4001,減損のため,1,https://apple.com
SSKM000100002,001,2020/03/31,4001,減損のため,1,https://apple.com
SSKM000100003,001,2020/03/31,4001,減損のため,1,https://apple.com
SSKM000100004,001,2020/03/31,4001,減損のため,1,https://apple.com
SSKM000100005,001,2020/03/31,4001,減損のため,1,https://apple.com
SSKM000100006,001,2020/03/31,4001,減損のため,1,https://apple.com
SSKM000100007,001,2020/03/31,4001,減損のため,1,https://apple.com
SSKM000100008,001,2020/03/31,4001,減損のため,1,https://apple.com
SSKM000100009,001,2020/03/31,4001,減損のため,1,https://apple.com
SSKM000100010,001,2020/03/31,4001,減損のため,1,https://apple.com
SSKM000100011,001,2020/03/31,4001,減損のため,1,https://apple.com
SSKM000100012,001,2020/03/31,4001,減損のため,1,https://apple.com
SSKM000100013,001,2020/03/31,4001,減損のため,1,https://apple.com
SSKM000100014,001,2020/03/31,4001,減損のため,1,https://apple.com
SSKM000100015,001,2020/03/31,4001,減損のため,1,https://apple.com
SSKM000100016,001,2020/03/31,4001,減損のため,1,https://apple.com
