資産コード,枝番,売却日,事由コード,事由,売却価額,売却価額の税区分ID,売却価額の税区分,売却価額の消費税額（手入力）,売却先,処分費用,処分費用の税区分ID,処分費用の税区分,処分費用の消費税額（手入力）,処分費用支払先,除売却時の償却費計上区分,参照リンク
SSKM000100001,001,2023/04/05,2001,売却のため,5000,187,課売 10%,500,AAA,500,187,課仕 10%,50,Disposal AA,1,http://sale.test.vn
SSKM000100002,001,2023/04/05,2001,売却のため,5000,187,課売 10%,500,AAA,500,187,課仕 10%,50,Disposal AA,1,http://sale.test.vn
SSKM000100003,001,2023/04/05,2001,売却のため,5000,187,課売 10%,500,AAA,500,187,課仕 10%,50,Disposal AA,1,http://sale.test.vn
SSKM000100004,001,2023/04/05,2001,売却のため,5000,187,課売 10%,500,AAA,500,187,課仕 10%,50,Disposal AA,1,http://sale.test.vn
SSKM000100005,001,2023/04/05,2001,売却のため,5000,187,課売 10%,500,AAA,500,187,課仕 10%,50,Disposal AA,1,http://sale.test.vn
SSKM000100006,001,2023/04/05,2001,売却のため,5000,187,課売 10%,500,AAA,500,187,課仕 10%,50,Disposal AA,1,http://sale.test.vn
SSKM000100007,001,2023/04/05,2001,売却のため,5000,187,課売 10%,500,AAA,500,187,課仕 10%,50,Disposal AA,1,http://sale.test.vn
SSKM000100008,001,2023/04/05,2001,売却のため,5000,187,課売 10%,500,AAA,500,187,課仕 10%,50,Disposal AA,1,http://sale.test.vn
SSKM000100009,001,2023/04/05,2001,売却のため,5000,187,課売 10%,500,AAA,500,187,課仕 10%,50,Disposal AA,1,http://sale.test.vn
SSKM000100010,001,2023/04/05,2001,売却のため,5000,187,課売 10%,500,AAA,500,187,課仕 10%,50,Disposal AA,1,http://sale.test.vn
SSKM000100011,001,2023/04/05,2001,売却のため,5000,187,課売 10%,500,AAA,500,187,課仕 10%,50,Disposal AA,1,http://sale.test.vn
SSKM000100012,001,2023/04/05,2001,売却のため,5000,187,課売 10%,500,AAA,500,187,課仕 10%,50,Disposal AA,1,http://sale.test.vn
SSKM000100013,001,2023/04/05,2001,売却のため,5000,187,課売 10%,500,AAA,500,187,課仕 10%,50,Disposal AA,1,http://sale.test.vn
SSKM000100014,001,2023/04/05,2001,売却のため,5000,187,課売 10%,500,AAA,500,187,課仕 10%,50,Disposal AA,1,http://sale.test.vn
SSKM000100015,001,2023/04/05,2001,売却のため,5000,187,課売 10%,500,AAA,500,187,課仕 10%,50,Disposal AA,1,http://sale.test.vn
SSKM000100016,001,2023/04/05,2001,売却のため,5000,187,課売 10%,500,AAA,500,187,課仕 10%,50,Disposal AA,1,http://sale.test.vn
SSKM000100017,001,2023/04/05,2001,売却のため,5000,187,課売 10%,500,AAA,500,187,課仕 10%,50,Disposal AA,1,http://sale.test.vn
SSKM000100018,001,2023/04/05,2001,売却のため,5000,187,課売 10%,500,AAA,500,187,課仕 10%,50,Disposal AA,1,http://sale.test.vn
SSKM000100019,001,2023/04/05,2001,売却のため,5000,187,課売 10%,500,AAA,500,187,課仕 10%,50,Disposal AA,1,http://sale.test.vn
SSKM000100020,001,2023/04/05,2001,売却のため,5000,187,課売 10%,500,AAA,500,187,課仕 10%,50,Disposal AA,1,http://sale.test.vn
SSKM000100021,001,2023/04/05,2001,売却のため,5000,187,課売 10%,500,AAA,500,187,課仕 10%,50,Disposal AA,1,http://sale.test.vn
SSKM000100022,001,2023/04/05,2001,売却のため,5000,187,課売 10%,500,AAA,500,187,課仕 10%,50,Disposal AA,1,http://sale.test.vn
SSKM000100023,001,2023/04/05,2001,売却のため,5000,187,課売 10%,500,AAA,500,187,課仕 10%,50,Disposal AA,1,http://sale.test.vn
SSKM000100024,001,2023/04/05,2001,売却のため,5000,187,課売 10%,500,AAA,500,187,課仕 10%,50,Disposal AA,1,http://sale.test.vn
SSKM000100025,001,2023/04/05,2001,売却のため,5000,187,課売 10%,500,AAA,500,187,課仕 10%,50,Disposal AA,1,http://sale.test.vn
SSKM000100026,001,2023/04/05,2001,売却のため,5000,187,課売 10%,500,AAA,500,187,課仕 10%,50,Disposal AA,1,http://sale.test.vn
SSKM000100027,001,2023/04/05,2001,売却のため,5000,187,課売 10%,500,AAA,500,187,課仕 10%,50,Disposal AA,1,http://sale.test.vn
SSKM000100028,001,2023/04/05,2001,売却のため,5000,187,課売 10%,500,AAA,500,187,課仕 10%,50,Disposal AA,1,http://sale.test.vn
SSKM000100029,001,2023/04/05,2001,売却のため,5000,187,課売 10%,500,AAA,500,187,課仕 10%,50,Disposal AA,1,http://sale.test.vn
SSKM000100030,001,2023/04/05,2001,売却のため,5000,187,課売 10%,500,AAA,500,187,課仕 10%,50,Disposal AA,1,http://sale.test.vn
