資産コード,枝番,資産名,資産カナ名,取得日,事業供用開始日,移行日,取得価額,税区分ID,税区分,税額,取得方法区分,取得方法区分名,資産科目コード,資産科目名,部門コード,部門名,設置場所コード,設置場所名,数量,単位,購入先名,リンク,償却方法_1,償却方法名_1,耐用年数_1,備忘価額_1,改定取得価額_1,期首簿価_1,移行時の帳簿価額_1,減損累計額_1,繰越超過額_1,償却済月数_1,総償却月数_1,残存価額_1,償却方法_2,償却方法名_2,耐用年数_2,備忘価額_2,改定取得価額_2,期首簿価_2,移行時の帳簿価額_2,減損累計額_2,繰越超過額_2,償却済月数_2,総償却月数_2,残存価額_2,償却方法_3,償却方法名_3,耐用年数_3,備忘価額_3,改定取得価額_3,期首簿価_3,移行時の帳簿価額_3,減損累計額_3,繰越超過額_3,償却済月数_3,総償却月数_3,残存価額_3,資産種類（償却資産税）,資産種類名（償却資産税）,特例対象フラグ,特例（分子）,特例（分母）,摘要（償却資産税）,資産種類（法人税）,資産種類名（法人税）,構造,細目,タグ,メモ,コメント
101,1,D60-FA0001,パソコン,2018/02/01,2018/02/01,,2000007,99,対象外,,1,新品,SSKM0001,,,,STBS0003,,1,個,,,60,,,,,,,,,,90,,60,,,,,,,,,,90,,,,,,,,,,,,,,1,構築物,1,5,9,,10,,,,,,
101,2,D60-FA0002,パソコン,2018/02/01,2018/02/01,,2000007,99,対象外,,1,新品,SSKM0001,,,,STBS0003,,1,個,,,60,,,,,,,,,,90,,60,,,,,,,,,,90,,,,,,,,,,,,,,1,構築物,1,5,9,,11,,,,,,
101,3,D60-FA0003,パソコン,2018/02/01,2018/02/01,,2000007,99,対象外,,1,新品,SSKM0001,,,,STBS0003,,1,個,,,60,,,,,,,,,,90,,60,,,,,,,,,,90,,,,,,,,,,,,,,1,構築物,1,5,9,,12,,,,,,
101,4,D60-FA0004,パソコン,2018/02/01,2018/02/01,,2000007,99,対象外,,1,新品,SSKM0001,,,,STBS0003,,1,個,,,60,,,,,,,,,,90,,60,,,,,,,,,,90,,,,,,,,,,,,,,1,構築物,1,5,9,,13,,,,,,
101,5,D60-FA0005,パソコン,2018/02/01,2018/02/01,,2000007,99,対象外,,1,新品,SSKM0001,,,,STBS0003,,1,個,,,60,,,,,,,,,,90,,60,,,,,,,,,,90,,,,,,,,,,,,,,1,構築物,1,5,9,,14,,,,,,
101,6,D60-FA0006,パソコン,2018/02/01,2018/02/01,,2000007,99,対象外,,1,新品,SSKM0001,,,,STBS0003,,1,個,,,60,,,,,,,,,,90,,60,,,,,,,,,,90,,,,,,,,,,,,,,1,構築物,1,5,9,,15,,,,,,
101,7,D60-FA0007,パソコン,2018/02/01,2018/02/01,,2000007,99,対象外,,1,新品,SSKM0001,,,,STBS0003,,1,個,,,60,,,,,,,,,,90,,60,,,,,,,,,,90,,,,,,,,,,,,,,1,構築物,1,5,9,,16,,,,,,
101,8,D60-FA0008,パソコン,2018/02/01,2018/02/01,,2000007,99,対象外,,1,新品,SSKM0001,,,,STBS0003,,1,個,,,60,,,,,,,,,,90,,60,,,,,,,,,,90,,,,,,,,,,,,,,1,構築物,1,5,9,,17,,,,,,
101,9,D60-FA0009,パソコン,2018/02/01,2018/02/01,,2000007,99,対象外,,1,新品,SSKM0001,,,,STBS0003,,1,個,,,60,,,,,,,,,,90,,60,,,,,,,,,,90,,,,,,,,,,,,,,1,構築物,1,5,9,,20,,,,,,
101,10,D60-FA0010,パソコン,2018/02/01,2018/02/01,,2000007,99,対象外,,1,新品,SSKM0001,,,,STBS0003,,1,個,,,60,,,,,,,,,,90,,60,,,,,,,,,,90,,,,,,,,,,,,,,1,構築物,1,5,9,,30,,,,,,
101,11,D60-FA0011,パソコン,2018/02/01,2018/02/01,,2000007,99,対象外,,1,新品,SSKM0001,,,,STBS0003,,1,個,,,60,,,,,,,,,,90,,60,,,,,,,,,,90,,,,,,,,,,,,,,1,構築物,1,5,9,,40,,,,,,
101,12,D60-FA0012,パソコン,2018/02/01,2018/02/01,,2000007,99,対象外,,1,新品,SSKM0001,,,,STBS0003,,1,個,,,60,,,,,,,,,,90,,60,,,,,,,,,,90,,,,,,,,,,,,,,1,構築物,1,5,9,,50,,,,,,
101,13,D60-FA0013,パソコン,2018/02/01,2018/02/01,,2000007,99,対象外,,1,新品,SSKM0001,,,,STBS0003,,1,個,,,60,,,,,,,,,,90,,60,,,,,,,,,,90,,,,,,,,,,,,,,1,構築物,1,5,9,,60,,,,,,
101,14,D60-FA0014,パソコン,2018/02/01,2018/02/01,,2000007,99,対象外,,1,新品,SSKM0001,,,,STBS0003,,1,個,,,60,,,,,,,,,,90,,60,,,,,,,,,,90,,,,,,,,,,,,,,1,構築物,1,5,9,,10,,,,,,
