資産コード,枝番,資産種類（償却資産税）,資産種類（法人税）,構造,細目
SSKM000100001,001,1,10,structure corporate tax 1,detail corporate tax 1
SSKM000100002,001,2,11,structure corporate tax 2,detail corporate tax 2
SSKM000100003,001,3,12,structure corporate tax 3,detail corporate tax 3
SSKM000100004,001,4,13,structure corporate tax 4,detail corporate tax 4
SSKM000100005,001,5,14,structure corporate tax 5,detail corporate tax 5
SSKM000100006,001,6,15,structure corporate tax 6,detail corporate tax 6
SSKM000100007,001,99,16,structure corporate tax 7,detail corporate tax 7
SSKM000100008,001,1,17,structure corporate tax 8,detail corporate tax 8
SSKM000100009,001,2,20,structure corporate tax 9,detail corporate tax 9
SSKM000100010,001,3,30,structure corporate tax 10,detail corporate tax 10
SSKM000100011,001,4,40,structure corporate tax 11,detail corporate tax 11
SSKM000100012,001,5,50,structure corporate tax 12,detail corporate tax 12
SSKM000100013,001,6,60,structure corporate tax 13,detail corporate tax 13
SSKM000100014,001,99,99,structure corporate tax 14,detail corporate tax 14
SSKM000100015,001,1,10,structure corporate tax 15,detail corporate tax 15
SSKM000100016,001,2,11,structure corporate tax 16,detail corporate tax 16
SSKM000100017,001,3,12,structure corporate tax 17,detail corporate tax 17
SSKM000100018,001,4,13,structure corporate tax 18,detail corporate tax 18
SSKM000100019,001,5,14,structure corporate tax 19,detail corporate tax 19
SSKM000100020,001,6,15,structure corporate tax 20,detail corporate tax 20
SSKM000100021,001,99,16,structure corporate tax 21,detail corporate tax 21
SSKM000100022,001,1,17,structure corporate tax 22,detail corporate tax 22
SSKM000100023,001,2,20,structure corporate tax 23,detail corporate tax 23
SSKM000100024,001,3,30,structure corporate tax 24,detail corporate tax 24
SSKM000100025,001,4,40,structure corporate tax 25,detail corporate tax 25
SSKM000100026,001,5,50,structure corporate tax 26,detail corporate tax 26
SSKM000100027,001,6,60,structure corporate tax 27,detail corporate tax 27
SSKM000100028,001,99,99,structure corporate tax 28,detail corporate tax 28
SSKM000100029,001,1,10,structure corporate tax 29,detail corporate tax 29
SSKM000100030,001,2,11,structure corporate tax 30,detail corporate tax 30
SSKM000100031,001,3,12,structure corporate tax 31,detail corporate tax 31
SSKM000100032,001,4,13,structure corporate tax 32,detail corporate tax 32
SSKM000100033,001,5,14,structure corporate tax 33,detail corporate tax 33
SSKM000100034,001,6,15,structure corporate tax 34,detail corporate tax 34
SSKM000100035,001,99,16,structure corporate tax 35,detail corporate tax 35
SSKM000100036,001,1,17,structure corporate tax 36,detail corporate tax 36
SSKM000100037,001,2,20,structure corporate tax 37,detail corporate tax 37
SSKM000100038,001,3,30,structure corporate tax 38,detail corporate tax 38
SSKM000100039,001,4,40,structure corporate tax 39,detail corporate tax 39
SSKM000100040,001,5,50,structure corporate tax 40,detail corporate tax 40
SSKM000100041,001,6,60,structure corporate tax 41,detail corporate tax 41
SSKM000100042,001,99,99,structure corporate tax 42,detail corporate tax 42
SSKM000100043,001,1,10,structure corporate tax 43,detail corporate tax 43
SSKM000100044,001,2,11,structure corporate tax 44,detail corporate tax 44
SSKM000100045,001,3,12,structure corporate tax 45,detail corporate tax 45
SSKM000100046,001,4,13,structure corporate tax 46,detail corporate tax 46
SSKM000100047,001,5,14,structure corporate tax 47,detail corporate tax 47
SSKM000100048,001,6,15,structure corporate tax 48,detail corporate tax 48
SSKM000100049,001,99,16,structure corporate tax 49,detail corporate tax 49
SSKM000100050,001,1,17,structure corporate tax 50,detail corporate tax 50
SSKM000100051,001,2,20,structure corporate tax 51,detail corporate tax 51
SSKM000100052,001,3,30,structure corporate tax 52,detail corporate tax 52
SSKM000100053,001,4,40,structure corporate tax 53,detail corporate tax 53
SSKM000100054,001,5,50,structure corporate tax 54,detail corporate tax 54
SSKM000100055,001,6,60,structure corporate tax 55,detail corporate tax 55
SSKM000100056,001,99,99,structure corporate tax 56,detail corporate tax 56
SSKM000100057,001,1,10,structure corporate tax 57,detail corporate tax 57
SSKM000100058,001,2,11,structure corporate tax 58,detail corporate tax 58
SSKM000100059,001,3,12,structure corporate tax 59,detail corporate tax 59
SSKM000100060,001,4,13,structure corporate tax 60,detail corporate tax 60
SSKM000100061,001,5,14,structure corporate tax 61,detail corporate tax 61
SSKM000100062,001,6,15,structure corporate tax 62,detail corporate tax 62
SSKM000100063,001,99,16,structure corporate tax 63,detail corporate tax 63
SSKM000100064,001,1,17,structure corporate tax 64,detail corporate tax 64
SSKM000100065,001,2,20,structure corporate tax 65,detail corporate tax 65
SSKM000100066,001,3,30,structure corporate tax 66,detail corporate tax 66
SSKM000100067,001,4,40,structure corporate tax 67,detail corporate tax 67
SSKM000100068,001,5,50,structure corporate tax 68,detail corporate tax 68
SSKM000100069,001,6,60,structure corporate tax 69,detail corporate tax 69
SSKM000100070,001,99,99,structure corporate tax 70,detail corporate tax 70
SSKM000100071,001,1,10,structure corporate tax 71,detail corporate tax 71
SSKM000100072,001,2,11,structure corporate tax 72,detail corporate tax 72
SSKM000100073,001,3,12,structure corporate tax 73,detail corporate tax 73
